State County Code,Year,ALAND,AWATER,INTPTLAT,INTPTLONG
12109,2016,1555793097,571962797,29.890644,-81.383948
12111,2016,1480637152,300863100,27.379812,-80.443537
12113,2016,2620446204,419623254,30.701838,-87.012762
12115,2016,1439490288,438988298,27.184386,-82.365835
12117,2016,801548741,92787591,28.690092,-81.131989
12119,2016,1418393423,83347578,28.714310,-82.074703
12121,2016,1783341105,9594316,30.189244,-82.992754
12123,2016,2702138986,489236302,30.009908,-83.609483
12125,2016,630807237,16049079,30.054280,-82.366918
12127,2016,2852040536,857943035,29.057769,-81.161792
12129,2016,1570625278,334901690,30.140358,-84.375112
12131,2016,2687681942,522853411,30.631211,-86.176614
12133,2016,1513028727,82285410,30.602217,-85.662797
13001,2016,1313444661,13306630,31.739712,-82.290103
13003,2016,878785923,13551711,31.296861,-82.878199
13005,2016,735650671,4625861,31.550210,-82.451433
13007,2016,885634006,18630031,31.319580,-84.454881
13009,2016,669822351,25008172,33.059490,-83.255457
13011,2016,601112274,4651151,34.351922,-83.498441
13013,2016,415349361,6642578,33.992009,-83.712303
13015,2016,1190219022,27368325,34.240917,-84.838188
13017,2016,647809457,9807028,31.740775,-83.147190
13019,2016,1170534736,15375915,31.288652,-83.227870
13021,2016,645714766,14488557,32.808844,-83.694193
13023,2016,559100198,8447343,32.435403,-83.331717
13025,2016,1145716262,12532588,31.197334,-81.982978
13027,2016,1277108508,12188514,30.822934,-83.581905
13029,2016,1130181818,46853691,32.017969,-81.438543
13031,2016,1743181436,40350113,32.391711,-81.744021
13033,2016,2141835935,20758799,33.050819,-82.011571
13035,2016,475937515,11086906,33.290355,-83.958221
13037,2016,726147258,8315719,31.521279,-84.626290
13039,2016,1588171680,436845085,30.913347,-81.642001
13043,2016,629503278,15035830,32.403851,-82.071236
13045,2016,1292492374,12284897,33.582237,-85.080527
13047,2016,419999432,771159,34.900218,-85.139386
13049,2016,2003666845,22681775,30.779904,-82.139644
13051,2016,1111258870,526292292,31.980410,-81.085196
13053,2016,644222671,6292704,32.347445,-84.788021
13055,2016,811512405,570806,34.474178,-85.345289
13057,2016,1090669263,34459754,34.244317,-84.475057
13059,2016,308738452,4741286,33.952185,-83.367152
13061,2016,506035802,56605042,31.619831,-84.992583
13063,2016,366862137,7057627,33.542686,-84.355573
13065,2016,2072566895,61565560,30.917653,-82.702614
13067,2016,879793729,12505187,33.939940,-84.574166
13069,2016,1490402085,70454813,31.549245,-82.844938
13071,2016,1416686381,25002138,31.189758,-83.769741
13073,2016,751327581,45369171,33.547631,-82.252296
13075,2016,588446812,15546061,31.152528,-83.429438
13077,2016,1141971259,12730357,33.352897,-84.762138
13079,2016,841521481,3989504,32.709428,-83.979187
13081,2016,706002618,21657691,31.915149,-83.753531
13083,2016,450605326,467844,34.852424,-85.506201
13085,2016,546042941,9271910,34.442842,-84.173284
13087,2016,1546584748,67412755,30.880655,-84.584144
13089,2016,693143907,9192035,33.770661,-84.226343
13091,2016,1284365331,18692950,32.160235,-83.156241
13093,2016,1015120153,13841085,32.151995,-83.807167
13095,2016,851140302,15396056,31.532588,-84.209040
13097,2016,518293073,2485522,33.699317,-84.765944
13099,2016,1327612129,9717177,31.324191,-84.906723
13101,2016,1074571646,15087403,30.708500,-82.836132
